name,desc,devfolioLink,githubLinks,longDesc,special_mention,stacksUsed,result,label
Stock Price Prediction – Machine Learning Project,Learned how to develop a stock cost prediction model and how to build an interactive dashboard for stock analysis.,https://devfolio.co/submissions/stock-price-prediction-machine-learning-project-f1a9,"[""https://github.com/KanakBhardwaj1/Stock-Price-Prediction-Machine-Learning-Project-in-Python""]","The problem Stock Price Prediction – Machine Learning Project solves\nMachine learning has significant applications in the stock price prediction. In this machine learning project, we will be talking about predicting the returns on stocks. This is a very complex task and has uncertainties. We will develop this project into two parts:\nFirst, we will learn how to predict stock price using the LSTM neural network.\nThen we will build a dashboard using Plotly dash for stock analysis.", ,"[""Python"",""Jupyter Notebook""]","{""Category"":""science and research"",""average predictions"":0.209674}",science and research
Self -Disinfentive Glove and other PPEs,"To Serve Those, Who Serve Us.",https://devfolio.co/submissions/self-disinfentive-glove-and-other-ppes-e8f5,"[""https://youtu.be/ipFfT6R4xKw""]","The problem Self -Disinfentive Glove and other PPEs solves\nOn the time of COVID-19 pandemic ,It is clearly noticeable that doctor and medical staffs are highly affected with COVID-19 because of the traditional PPEs are not enough to construct an efficient protection against such a contagious virus. It is also proved that novel corona virus can easily spread through medical equipment. So there is a necessity to innovate in the field of Personal Protective Equipment (PPE). So, The spreading of contagious pathogens can be definitely-reducible by the use of this glove.\nPoints-\n1.Doctors and medical staffs are not enough protected from COVID19.\n2.Our limited Recourses are beings harmed by using disposable gloves and other PPEs.\n3.We are making more medical waste .", ,"[""C++"",""Arduino"",""self-disinfection"",""alcohol"",""successful working prototype""]","{""Category"":""health and wellness"",""average predictions"":0.221161}",health and wellness
Rakshak Drone,Autonomous!!!The Need of The Hour,https://devfolio.co/submissions/rakshak-drone-040b,"[""https://github.com/Paras-One/rakshakdrone-xplore.git"",""https://drive.google.com/file/d/1JFZX7faeuQnYod3W6FfBYm1_m_Uep_yv/view?usp=sharing""]","The problem Rakshak Drone solves\nPrimarily this drone will help in maintaining the guidelines of Covid 19 by ensuring proper sanitization in public places. Outdoor drones will be deployed to disinfect hospital buildings, benches, car parking areas, and public community spaces, while smaller indoor drones installed with portable UVC lights, can disinfect indoor surfaces of hospitals and other public buildings.\nDepending on the disinfection requirement, each drone will carry a different payload required to achieve maximum efficiency.\nReal-time monitoring from the control center is enabled by a video camera and streaming system installed on the drones. Colour zone-mapping from the cameras builds the timeline view of disinfected areas.", ,"[""OpenCV"",""ROS"",""Gazebo"",""Ml""]","{""Category"":""miscellaneous "",""average predictions"":0.22541}",miscellaneous 
PsycheCheck,The objective of this website is to help people become aware about their mental health through a short quiz and then help them improvise their quality of life based upon the results.,https://devfolio.co/submissions/psychecheck-3bf4,"[""https://manavdoda7.github.io/PsycheCheck/"",""https://github.com/manavdoda7/PsycheCheck""]","The problem PsycheCheck solves\nIn India, consultation about the mental health issues is still considered a social stigma due to which they generally remain undetected. Over 10 percent of its 1.3 billion-strong population having suffered from one or more mental health problems. Mental health issues are not given equal importance as physical health problems and sometimes they are not recognised for an individual’s lifetime. In this fast-moving world, people are being trained to work like machines where they forget to take out time for their own selves, resulting in an increasing probability of them being in depression or suffering from some other issue related to mental health.\n“Phyche Check” is a small initiative by team Hackbit. We have designed a website that will help the user to take up a small quiz in which he/she will have to answer question related to their daily life routines and activities. There are three categories based upon the age- teenager (below 20), adult (between 20-50) and elderly (above 50). On the basis of the results of the quiz they can find out whether they are mentally fit or not.\nIf detected severely unfit the user will be informed to consult a doctor as soon as possible by giving him\\her some recommendations. If detected moderately unfit the user will be informed that he/she should stay calm and try to give more time to think about their thoughts and feelings. If detected mentally fit the user will be informed to just relax and that he’s good to go. Music is the language that connects to our soul and therefore website also offers the link to a small playlist of songs to which they can hear and it can help them relax and feel good. \nThe website also provides basic information about various mental health issues like depression, post-traumatic stress disorder, psychosis and a few more. It also tells the user the importance of regular mental health check-ups. It will help people to understand better about their own self and improvise their quality of living. \nStay positive!", ,"[""Bootstrap"",""JavaScript"",""CSS3"",""HTML5""]","{""Category"":""mental health"",""average predictions"":0.433173}",mental health
Pack-It-Up,Tagline: We pack for less. Objective: To provide an Optimal Solution for food Packaging in which cost is the prime objective.,https://devfolio.co/submissions/packitup-c986,"[""https://github.com/deeps21/pack_it_up"",""https://pack-it-up.netlify.app/""]","The problem Pack-It-Up solves\nA software service i.e website in which the properties like chemical reactions and physical dimensions of the objects will be taken as input from the user and then select the best suitable material for that. In which the product can be sustained much longer than usual. \nAlso, the design of the product can minimize the area of packing in order to decrease the packaging cost. In this whole process, the prime objective is cost optimization. Thus it will make the packaging efficient and will bring more profits to businesses by reducing packaging costs.", ,"[""HTML"",""Firebase"",""CSS"",""JavaScript"",""Python""]","{""Category"":""health and wellness"",""average predictions"":0.156915}",health and wellness
Ajnabee,Meet people in a revolutionary way.,https://devfolio.co/submissions/ajnabee-c37e,"[""https://github.com/Hungry-Hippoos/Ajnabee"",""https://github.com/Hungry-Hippoos/Ajnabee-mobile""]","The problem Ajnabee solves\nSince meeting people virtuallly is the new trend, which limits the socializing of the ""social animal"". There are various apps that help people socialize, but most of them tend to connect people on the basis of material/physical information given by the user, thus making people uncomfortable with themselevs as they are being judged on their basis of looks. Our product recommends users to like minded people on the basis of a pysch evaluation test.\nSince everything becomes online, they cant tell how the conversation is going, especially for the introverted people. Thus we have added a feature that will check the chats keeping the ideantity anonymous and will evaluate them and will let the user know how the conversation is going.", ,"[""PyTorch"",""Machine Learning"",""SQL"",""Python"",""Flutter"",""Natural language processing (NLP)"",""Firestore"",""Firebase Authentication"",""RestAPIs"",""Django rest framework""]","{""Category"":""mental health"",""average predictions"":0.188812}",mental health
SOOTHE,"A mental wellness web app platform to connect patients, doctors, developers designing mental health psychotherapies, and volunteers to support mental health and untuck the stigma attached with it.",https://devfolio.co/submissions/soothe-d3d6,"[""https://github.com/SiddheshShinde-tech/Soothe2.0"",""https://soothe-8075f.web.app/""]","The problem SOOTHE solves\nThe app aims at connecting doctors, technology, and users who seek mental health aid.\n The app helps people with social anxiety and physical limitations to come forward and lead a happy life. They can use this app to take therapies to overcome their mental depression.", ,"[""Node.js"",""npm"",""Firestore"",""Tailwind CSS"",""Firebase Authentication""]","{""Category"":""mental health"",""average predictions"":0.242658}",mental health
Shiwu,A soil detector and crop predictor to promote sustainable agriculture.,https://devfolio.co/submissions/shiwu-1769,"[""https://github.com/Nishtha0801/shiwu"",""https://youtu.be/zITK5kN8mzU""]","The problem Shiwu solves\nTechnology is supposed to be utilised for the greater good and our project aims to cover three vital sustainable development goals. When technology started to exist, it did because of one commmon goal - Technology for the greater good. Since childhood, we are being taught the principles of sustainable development and ways we can revolutionise the world and take care of our planet.\nZero Hunger: With the knowledge of the right crop for your soil, more crops can be produced thereby ending hunger.\nResponsible Consumption and Production: We detect the correct soil and suggest the best crops which can be grown thereby ensuring sustainable production patterns.\nLife on Land: When the right crop is being grown on the soil, the soil resources are utilised properly thereby preventing desertification and trying to halt desertification.\nHow does this work? \nWe used a soil classification dataset with four different types of soil - alluvial, black, clay and red soil which was available on Kaggle. It contains both train and test datasets for the different soil types. We have 5 hidden layers in the model. Our first layer is sequential as there's only a single input. Since it is a picture we need to flatten the RGB content. We have then used batch normalisation layer to normalise the mean output and standard deviation. Then we have densely connected 4 layers. Again, to normalise the output we have used batch normalisation and we have used the activation function 'softmax'. We have compiled the whole model using optimiser 'Adam' , handled losses using 'categoricalCrossentropy' and using metrics 'accuracy'. We have set up 50 epochs for better accuracy. Then we used flask to integrate it with our website,\nWho can use this tech?\nFarmers and even people who wish to have an in-house garden at their place can utilise this software and get the best suggestions for their next produce.",Best All Girls,"[""Flask"",""TensorFlow"",""Machine Learning"",""Deep Learning"",""Keras CNN"",""cnn""]","{""Category"":""general wellfare"",""average predictions"":0.283158}",general wellfare
Mirai Secured with Automation,We are building one of the most Secure and smart home automation system.,https://devfolio.co/submissions/mirai-secured-with-automation-a035,"[""https://github.com/shaurya0406/Team-Mirai-VIHAAN-2021""]","The problem Mirai Secured with Automation solves\nToday there are millions of IoT devices but only a few address the most important issue of security and data-privacy. \nAnyone who has the server access be it a hacker, or the manufacturer or the service provider itself, can control your devices.\nHow our implementation is better than the existing market players:\nSECURITY\nWe have implemented encryption not only at software level but also in our hardware(ESP32) by customising the partition scheme.To implement a Server-Less model, we have Peer-to-Peer(P2P) communication between the nodes of the mesh as well as with the smartphone.To enable global access of our devices, the smartphone uploads the device status to iCloud with encryption enabled. At no time the devices are directly connected to the cloud server. .So no one can control our devices until they have gone through the initial setup process wihich only involves scanning of QR-code from smart-phone and all the wifi and cloud credential are automatically configured. \nAt the Hardware level, it is important to enable on device secure encryption boot and flash of the firmware.This removes the possibility of hacking into the system manually by reading the Flash memory registers of the device(ESP32).For this we have\nmade a custom NVSpartition scheme to enable code operation modularity:\n2 OTA update partitions for secure boot after over-the-air update of firmware.\nHomeKit and MESH running on 1 core and Wake word detection on the other.(ESP32 is a dual core SoC)\nDynamic Addition of various types of devices with just 1 product using MESH which communicates on our custom encrypted networking protocol rather than HTTPS or MQTT.\nOur device does'nt require the users to download any extra app.Our device works and syncs with both Apple-HomeKit, Google Home apps which come Pre-Installed on all iOS and Android devices.\nOn Device Offline Speech Recognition\nFor detailed info, please check our Github Repo!",Runner Up,"[""ESP32"",""Embedded C"",""Convolutional neural network (CNN)"",""Google Cloud API"",""TensorFlow Lite for MCU"",""Apple HomeKIT"",""PlatformIO"",""ESP-IDF""]","{""Category"":""general wellfare"",""average predictions"":0.293259}",general wellfare
MediFast,A full-stack web application to provide complete healthcare assistance to people,https://devfolio.co/submissions/medifast-5d91,"[""https://github.com/Grumpyyash/HackOverFlow-4.0"",""https://evening-meadow-96782.herokuapp.com/"",""https://docs.google.com/presentation/d/1U5CC_zkoWhfCSslf31Ri-UcxQXGCTRHTGQVYEffXbYc/edit?usp=sharing""]","The problem MediFast solves\nHealthCare is one of the most important services among all sectors but what if I tell you-\nAccording to the latest statistics, approximately 40% of the people are unaware of good hospitals and medical facilities available even in their own locality.\nSevere accidents and delay of treatment because of waiting for ambulances cause approximately 2 lakh death alone in India every year.\nThe current situation caused by COVID has given rise to a few precautions like- going out only when very much needed and avoiding public gatherings, maintaining social-distancing and much more.\nIt is definitely obvious that having a like-minded community of people to interact and discuss among themselves would help improve people perspective about medical conditions and ultimately would contribute to awareness and mutual help.\nAll the statistics have been referred from different surveys and studies conducted by reliable sources like Outlook, MIT, Indian Express and others.\nWhat's the solution then, well-\nWhat if we could build an application that would give people all the needed information regarding hospitals, their specializations, their contacts, allowing them to search and filter based on areas, kind of treatment and much more with a single click.\nWhat if we could use machine learning and data analysis to early diagnose early symptoms that a person is having beforehand\nWhat if we could build an integrated system of ambulance services and hospitals available just at a single tap on a mobile screen.\nWhat if we could bring hospitals at the doorstep hosted on the web for application forms and appointments by the doctor.\nWhat if we could build and support a like-minded community of people willing to help each other in need and also spread the word of medic awareness among themselves.\nFuture prospects of the project could be integrating machine learning models with the web to diagnose early symptoms and predict diseases. We would love to work further on it",2nd Runners Up,"[""JavaScript"",""Embedded Javascript (EJS)"",""Heroku"",""Google Maps API"",""Express.js"",""MongoDB"",""Nodejs"",""CSS3"",""HTML5"",""Passsport.js""]","{""Category"":""education"",""average predictions"":0.193}",education
Crowdly,Crowdly is a Crypto-economic platform that acts as an information market that provides accurate news for users to both view and bet on.,https://devfolio.co/submissions/crowdly-cd8c,"[""https://github.com/Abhishec177/crowdly""]","The problem Crowdly solves\nMisinformation is a major problem in a world where there are many sources of information on the internet which may or may not provide the right information. This ultimately results in users losing faith in every internet source altogether.\nWe aim to solve this problem of misinformation by means of crowd verification and independent source (News Organizations) verification of the news shared. We aim to incentivize people to provide the right verdicts on each piece of information by allowing them to bet on what they feel is correct. They receive their fair share of profits once the news is verified by independent sources.", ,"[""Solidity"",""React"",""Matic"",""Portis"",""Nodejs"",""Truffle Suite""]","{""Category"":""safety and wellbeing"",""average predictions"":0.197864}",safety and wellbeing
RAHAT,Remote Application for Health Assistance And Tracking ""COVID mein dooriyan nahi"",https://devfolio.co/submissions/rahat-245a,"[""https://github.com/mrcodefrost/sparkathon_220_volts"",""https://drive.google.com/drive/folders/1n7m83BC7HIsAB22Z02U7yCpzIJEsBkI1?usp=sharing""]","The problem RAHAT solves\nRAHAT implements sensor technology and the internet to communicate with loved ones in case of problems. This system also shows patients' temperature and heartbeat tracked live data with timestamps over the Internetwork. Using the cloud nearby hospitals can access the data and help the patient if in case of an emergency. The mobile app has been developed as a smart portal for end-users integrated with a push notification service. It also has other features like COVID-19 News, videos. The app has an authentication feature also. This project will continuously monitor the vitals of the patient and send the alert to the app if and when some unusual trend is seen for a period of time. It will also intimate the nearby hospitals.",Jury Award,"[""Android"",""Java"",""Internet of Things (IoT)"",""Arduino Uno"",""Flutter"",""Sensors"",""Cloud"",""RestAPIs""]","{""Category"":""health and wellness"",""average predictions"":0.229211}",health and wellness
Healthify an App for ALL,Providing digital solutions and Creating Awareness among the people regarding this pandemic situations,https://devfolio.co/submissions/healthify-an-app-for-all-d74f,"[""https://github.com/sanjnasiboo24/Healthify""]","The problem Healthify an App for ALL solves\nWe have made a model for detecting if people are wearing marks and abiding to social distancing practises since most of the people are not following it so we have provided a digital solution. Also we have created a chatbot that diagnoses certain basic diseases based on the symptoms mentioned by the user since people often tend to get confused as to what disease they actually are suffering from .Lastly we have created basic flutter app which contains a bmi calculator and an awarness page that provides the user with basic info related to health", ,"[""Dart"",""Python"",""Flutter"",""Jupyter Notebook"",""Actions On Google""]","{""Category"":""safety and wellbeing"",""average predictions"":0.15625}",safety and wellbeing
Ularn,"Anyone can make, Everyone can learn",https://devfolio.co/submissions/ularn-3019,"[""https://github.com/Chandan-CV/Ularn.git"",""https://ularn-f9812.web.app/""]","The problem Ularn solves\nI would like to start this section with a question. Which is the first website you visit, if you want to start learning a new skill?\nYoutube right? Yes, even I would do the same (almost everyone will do the same), coz why not, Youtube is the largest content library, 500 million people use youtube for learning, 1 million learning videos are shared every day. on the contrary, It has so much content that you cannot find the right one, if you want to learn a new skill youtube does not provide structured content, the comments are not moderated, you don't know what to do after the first video, there are no notes. The suggestions distract you all the time (I open youtube to study physics, but I end up watching ""shot on iPhone memes"" or ""The Ellen Show"" for an hour). \nTo solve this problem, I am introducing Ularn. Ularn is a platform where anyone can make courses using youtube videos, and everyone can use them, to learn in a systematic way. every course has its own discussion section so that you can interact with the community. Notes can be attached by the educator. you get a healthy community of learners. Most importantly it QUALITY content, STRUCTURED as a course, which is available to anyone for FREE.\nUlarn - A PLACE TO FIND QUALITY CONTENT FROM YOUTUBE, STRUCTURED AS A COURSE, FOR FREE\nLet me give you an example.\nthere is a self-learned web developer called Ram, he learned web development via youtube, which took him really long time to learn as he did not know where to start and what exactly to learn. After a long time, he finally learnt web development, and now he wants to help others like him, by providing DETAILED, STRUCTURED, and FREE content. Now he can use Ularn to make a course by using youtube as the content library. and adding his own notes and tips. Now he can share this free course with anyone, and everyone using the platform can see this course, and wouldn't have to browse through youtube to find some(in most cases, you won't).",5th,"[""HTML"",""Firebase"",""JavaScript"",""React js"",""material ui"",""CSS3"",""React hooks""]","{""Category"":""education"",""average predictions"":0.374216}",education
Agro App,A One Stop Place for Famers,https://devfolio.co/submissions/agro-app-0c7d,"[""https://github.com/helewrer3/vihaan_app"",""https://drive.google.com/file/d/14bctwn52A7QDIh5Isg9RMvaDPCzjZw6_/view?usp=sharing""]","The problem Agro App solves\nTraditionally farmers have used their perceptual sensorial systems to diagnose and monitor their crops health and needs. However, humans possess five basic perceptual systems with accuracy levels that can change from human to human which are largely dependent on the stress, experience, health and age. To overcome this problem, in the last decade, with the help of the emergence of smartphone technology, new agronomic applications were developed to reach better, cost-effective, more accurate and portable diagnosis systems. With apps and websites being used virtually everywhere, we decided to create an all-purpose Flutter application for farmers as our submission for Vihaan 4.0 hackathon.",Best IEEE Team,"[""Firebase"",""Django"",""Flask"",""TensorFlow"",""Heroku"",""Flutter"",""Adobe XD"",""Express.js"",""Nodejs""]","{""Category"":""general wellfare"",""average predictions"":0.195505}",general wellfare
EmpowHer,Some of us women are becoming the men we wanted to marry,https://devfolio.co/submissions/empowher-aa30,"[""https://github.com/vidhi-mody/Vihaan""]","The problem EmpowHer solves\nThere is a need to redefine the status of women in the society. For time immemorial women in general have been forced to occupy a secondary place in relation to men. Women have been relegated to the margins in spite of the fact that they are numerically half of the world's population. \nAccording to the World Bank:\nWomen account for 66% of the world’s working hours but only 10% of the world income.\nOf the 900 million adults worldwide who cannot read or write, about two thirds are women.\nMany women leave their jobs to tend to their familial needs. They are currently under-represented in STEM-related professions.\nIt is also believed that women will be disproportionately affected by digital transformation.\nWomen 11 times more likely to not work after Covid job loss\nA change can be brought through the constitution and supportive legislations. The Constitution of India gives a women status equal to men. Women empowerment has to begin with women's active participation. Unless women throw off the shackles that ignore their talent, skill and spirit women through education and economic self-reliance, women cannot be empowered.\nAccording to READ GLOBAL one of the key enablers for women empowerment is the need for a “safe space” for women to gather and learn. However, as of now there is no such virtual platform available. The next enabler for women empowerment is to teach women job skills and seed businesses. There is also a need to build their self-esteem and confidence. With EMPOWER we propose a platform for women to build, grow and learn together. We aim to create communities of women that support each other along with the skill enhancement and upliftment provided to them by NGOs on the platform. We aim to curate a platform where women can connect, share their thoughts, promote their businesses, connect with potential recruiters and get quick replies to common questions through conversational AI.",Top 12,"[""jQuery"",""Bootstrap"",""Node.js"",""Socket.IO"",""MongoDB Atlas"",""ejs"",""Tensorflowjs"",""Google OAuth2"",""Google DialogFlow"",""IBM Watson Cloud""]","{""Category"":""mental health"",""average predictions"":0.223654}",mental health
